time,temp
1880-12-31,-1.2621757348625924
1881-12-31,-1.2403538151487121
1882-12-31,-1.194248214445686
1883-12-31,-1.228597563577588
1884-12-31,-1.4324582908528598
1885-12-31,-1.2447699679261204
1886-12-31,-1.2182369062678353
1887-12-31,-1.188490265907187
1888-12-31,-1.0366955494583439
1889-12-31,-0.8269443679122489
1890-12-31,-0.8795274246800484
1891-12-31,-0.9769551807545455
1892-12-31,-0.9452513783997057
1893-12-31,-0.9936346590740929
1894-12-31,-0.7426454394655299
1895-12-31,-0.8299057324594489
1896-12-31,-0.5788312712988747
1897-12-31,-0.6162327363983895
1898-12-31,-0.6928685364949114
1899-12-31,-0.4958920715048329
1900-12-31,-0.38695453687959985
1901-12-31,-0.4247512210042937
1902-12-31,-0.628514157698162
1903-12-31,-0.6122546420784507
1904-12-31,-0.743700407877356
1905-12-31,-0.5449034571193913
1906-12-31,-0.38539034143811435
1907-12-31,-0.6503850421970537
1908-12-31,-0.4832467788874231
1909-12-31,-0.557150088943301
1910-12-31,-0.5199520603899385
1911-12-31,-0.5167458170738833
1912-12-31,-0.5827774242441689
1913-12-31,-0.44789590112873023
1914-12-31,-0.2473425904412033
1915-12-31,-0.12930496056999116
1916-12-31,-0.41188952551141583
1917-12-31,-0.6919626880984185
1918-12-31,-0.45461631575208866
1919-12-31,-0.34717407476736906
1920-12-31,-0.2811926850119297
1921-12-31,-0.18747770762917895
1922-12-31,-0.33746870891479636
1923-12-31,-0.3162691329539631
1924-12-31,-0.32741971180169216
1925-12-31,-0.296622699100515
1926-12-31,-0.08437995808269287
1927-12-31,-0.2647645712489538
1928-12-31,-0.11137043743917274
1929-12-31,-0.41860743948457985
1930-12-31,-0.20218221685288443
1931-12-31,-0.09422868332675687
1932-12-31,-0.07701178512802472
1933-12-31,-0.31370606872294315
1934-12-31,-0.0550177350584079
1935-12-31,-0.20283485217398867
1936-12-31,-0.10024556086551732
1937-12-31,-0.0023171786356558735
1938-12-31,0.12565420503115274
1939-12-31,-0.03001509602817698
1940-12-31,-0.045685900943561585
1941-12-31,0.012138000440445143
1942-12-31,-0.10512392454857555
1943-12-31,-0.015067543353297888
1944-12-31,0.07967927807018656
1945-12-31,-0.17393554252523613
1946-12-31,-0.01160904392154083
1947-12-31,-0.01278776313859716
1948-12-31,0.010284261127307662
1949-12-31,-0.08071450073959441
1950-12-31,-0.15801874712045583
1951-12-31,-0.09216233971896548
1952-12-31,-0.009247629820817319
1953-12-31,0.14377061528297652
1954-12-31,-0.07234736421290737
1955-12-31,-0.13483715560564657
1956-12-31,-0.24303250212766728
1957-12-31,-0.004706542200249797
1958-12-31,0.010297817010738508
1959-12-31,0.01448873200513349
1960-12-31,-0.005540700938289622
1961-12-31,0.05373310429504715
1962-12-31,0.06269387554501293
1963-12-31,0.05566674902966303
1964-12-31,-0.23801766786679482
1965-12-31,-0.20337121302508587
1966-12-31,-0.1487670584250918
1967-12-31,0.018648832960805883
1968-12-31,-0.11687911598983768
1969-12-31,0.005742274389340755
1970-12-31,0.043761413220815136
1971-12-31,-0.060566874904156555
1972-12-31,-0.05336446636852832
1973-12-31,0.22469697632273714
1974-12-31,0.005940889416293523
1975-12-31,0.07548062487794589
1976-12-31,-0.13870707255531128
1977-12-31,0.1802815035055333
1978-12-31,0.1375502816640771
1979-12-31,0.2144800880177146
1980-12-31,0.26486209022366747
1981-12-31,0.427677078794199
1982-12-31,0.11414967908201805
1983-12-31,0.30685659504282403
1984-12-31,0.17056316138459968
1985-12-31,0.2123160607717786
1986-12-31,0.27985540061566005
1987-12-31,0.355484523081465
1988-12-31,0.47209695274965996
1989-12-31,0.4086065301672855
1990-12-31,0.6328960036423722
1991-12-31,0.4810519868911091
1992-12-31,0.20464531829681157
1993-12-31,0.21309623901729455
1994-12-31,0.3481512236520518
1995-12-31,0.5333872557282677
1996-12-31,0.4601345224924402
1997-12-31,0.508284394157481
1998-12-31,0.802187529776437
1999-12-31,0.6263653437961008
2000-12-31,0.5692458792903506
2001-12-31,0.7384003332917533
2002-12-31,0.821700292663925
2003-12-31,0.7824295221071567
2004-12-31,0.7512826772271938
2005-12-31,0.8998476870739035
2006-12-31,0.8254275183341203
2007-12-31,0.971016761953135
2008-12-31,0.7369362438572544
2009-12-31,0.7795305721810375
2010-12-31,0.9254765581178498
2011-12-31,0.8412418652330578
2012-12-31,0.777679244555325
2013-12-31,0.8698523207109368
2014-12-31,0.9041918015183974
2015-12-31,1.13796155632577
2016-12-31,1.301958325226415
2017-12-31,1.1783332550121541
2018-12-31,1.1205274998436343
2019-12-31,1.2588062980928603
2020-12-31,1.3409537087680041
2021-12-31,1.1205407128462672
2022-12-31,1.226794378343368
2023-12-31,1.4786719031201683
